run_id,status,evidence_class,claim_use,terminal_assessment
99ba6abd-1f6c-4e81-b241-d11cb776c1f6,done,successful_measurement,yes,"8/8 replicas; 100k model and 5k wall forwards per replica; validations passed"
31096e3a-4abc-4bc6-98f0-d893aaa1aae8,done,successful_measurement,yes,"8/8 replicas; finite deterministic outputs and complete summary"
215c50f6-b11d-43a4-b3b7-a1fb3809c318,done,successful_measurement,yes,"8/8 replicas; 150k model and 10k wall forwards per replica; validations passed"
e40a5b5f-6f9f-4b3d-9229-a68d16fc0ad1,done,successful_measurement,yes,"8/8 replicas; 300k model and 20k wall forwards per replica; validations passed"
007df69e-3e9c-48a3-b1bc-82947fd16563,done,successful_measurement,yes,"8/8 replicas; finite deterministic outputs and complete summary"
e0ae9c15-eb26-43be-9dc0-9e563fa9e11f,done,successful_measurement,yes,"8/8 replicas; 600k model and 50k wall forwards per replica; validations passed"
dc5cc2fa-e5ad-417b-bd3f-a2e68d54f8a4,done,successful_measurement,yes,"8/8 replicas; 1m model and 100k wall forwards per replica; validations passed"
fd4a2e0e-768b-4ff5-8ce8-9678e4d23525,failed,failed_aggregation,no,"only 2/8 pod results reached aggregator before timeout; no complete aggregate"
dd928544-5668-42a0-b5b7-be4771c7d4ea,cancelled,cancelled_superseded,no,"wall phase projected beyond job timeout; superseded by repaired command"
a8da48cd-55f3-4b2e-8a3a-0279504e7538,cancelled,cancelled_superseded,no,"wall phase projected beyond job timeout; superseded by successful repaired run"
6e9461ab-bff6-479a-a11c-561413311b38,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
8c957a22-c569-4bc4-8e19-72468e6fbf11,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
0d728eff-3813-4206-8a49-e4d0e87da3d5,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
e97891e7-1cc8-460c-8505-df2cd2bae513,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
bf383893-b6dc-434c-90ea-8d722017e5f7,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
de5b3561-1aab-47a0-9740-be5bd127f4be,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
05656b06-4311-4866-bed7-c33961a90063,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
80125b86-61be-49d9-9807-153e2f510180,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
41611599-c798-4052-a70a-123afc58b3a8,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
2a82ec9b-280e-4e48-8cae-fc1ff19aace5,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
41384a3e-4e19-42fb-8928-f24607f557ad,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
725ac366-323f-48cb-a39c-9f0f3f9d120e,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
90d43f6e-e6c4-4ee4-833a-4cb42ead4a5d,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
74c080e8-93e7-4971-87e5-64688cace1ea,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
88820adb-29f2-4185-bc9c-084aa6d84b1b,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
8238fa95-ad5b-4131-9ca2-4df0720fa32a,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
f9901101-364d-4ff5-93d3-7a12aa7ef6be,done,successful_measurement,yes,"8/8 replicas; complete short-run summary"
6a217061-2743-495c-8096-6f83bfdf2844,done,successful_measurement,yes,"16/16 one-GPU replicas; complete summary"
50656bdd-6f82-4f38-a173-004d17d26464,done,successful_measurement,yes,"16/16 replicas; shared-pod CPU contention diagnosed"
0e5c49be-b915-48ba-acb5-b820c84a9813,failed,setup_failure,no,"package import path error; no measurement"
132ac5b8-da46-49ca-a199-046ca0e1315b,failed,setup_failure,no,"model class name error; no measurement"
63f9ed40-6aff-4470-b321-14216b960efa,failed,setup_failure,no,"gated DINOv3 checkpoint returned 403 and CUDA reset argument was incompatible; no measurement"
11b1562a-4ea2-4c86-9793-0271dd2dc98b,failed,setup_failure,no,"shell setup/pipefail failure; no measurement"
